sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1	XP-G factor	ERCC5	HGNC:3437	ERCC excision repair 5, endonuclease	ENSG00000134899	2073	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
2	phosphatidylinositol transfer protein	PITPNA	HGNC:9001	phosphatidylinositol transfer protein alpha	ENSG00000174238	5306	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
3	TGF-b	TGFB1	HGNC:11766	transforming growth factor beta 1	ENSG00000105329	7040	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	24	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
4	TGF-b	TGFB1	HGNC:11766	transforming growth factor beta 1	ENSG00000105329	7040	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
5	RIPK2	RIPK2	HGNC:10020	receptor interacting serine/threonine kinase 2	ENSG00000104312	8767	Human	Gene	22745913	Homo sapiens				Human melanocytes	Human melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	qRT-PCR	Down	melanocyte	CL_0000148	Cell Ontology	
6	RNF3	BRD2	HGNC:1103	bromodomain containing 2	ENSG00000204256	6046	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
7	RNF3	BRD2	HGNC:1103	bromodomain containing 2	ENSG00000204256	6046	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
8	zinc finger protein	RNF4	HGNC:10067	ring finger protein 4	ENSG00000063978	6047	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
9	RNGTT	RNGTT	HGNC:10073	RNA guanylyltransferase and 5'-phosphatase	ENSG00000111880	8732	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
10	ROBO1	ROBO1	HGNC:10249	roundabout guidance receptor 1	ENSG00000169855	6091	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
11	ROBO1	ROBO1	HGNC:10249	roundabout guidance receptor 1	ENSG00000169855	6091	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
12	p160ROCK	ROCK1	HGNC:10251	Rho associated coiled-coil containing protein kinase 1	ENSG00000067900	6093	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	1	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
