sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1	Ki-67	KI67_HUMAN	P46013	MKI67	HGNC:7107	Proliferation marker protein Ki-67	Human	Protein	8949434	Homo sapiens	Japanese	Male		Biopsy from flexor surface of upper arm	Flexor surface of upper arm	Tissue	UVB-radiation	7	30-1260	In vivo	No irradiation	144	Proteomics	Immunohistochemistry	Up	flexor muscle	UBERON_0000366	Uberon Ontology	
2	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	8949434	Homo sapiens	Japanese	Male		Biopsy from flexor surface of upper arm	Flexor surface of upper arm	Tissue	UVB-radiation	7	30-1260	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	flexor muscle	UBERON_0000366	Uberon Ontology	
3	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	8949434	Homo sapiens	Japanese	Male		Biopsy from flexor surface of upper arm	Flexor surface of upper arm	Tissue	UVB-radiation	7	30-1260	In vivo	No irradiation	6	Proteomics	Immunohistochemistry	Up	flexor muscle	UBERON_0000366	Uberon Ontology	
4	Ki-67	KI67_HUMAN	P46013	MKI67	HGNC:7107	Proliferation marker protein Ki-67	Human	Protein	8949434	Homo sapiens	Japanese	Male		Biopsy from flexor surface of upper arm	Flexor surface of upper arm	Tissue	UVB-radiation	7	30-1260	In vivo	No irradiation	72	Proteomics	Immunohistochemistry	Up	flexor muscle	UBERON_0000366	Uberon Ontology	
5	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	8949434	Homo sapiens	Japanese	Male		Biopsy from flexor surface of upper arm	Flexor surface of upper arm	Tissue	UVB-radiation	7	30-1260	In vivo	No irradiation	12	Proteomics	Immunohistochemistry	Up	flexor muscle	UBERON_0000366	Uberon Ontology	
6	TRPV1	TRPV1_HUMAN	Q8NER1	TRPV1	HGNC:12716	transient receptor potential cation channel subfamily V member 1	Human	Protein	19161409	Homo sapiens	Korean	Both		Biopsy of buttock skin	Buttock skin	Tissue	UV radiation-General		790-900	Ex vivo	No irradiation	48	Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
7	TRPV1	TRPV1_HUMAN	Q8NER1	TRPV1	HGNC:12716	transient receptor potential cation channel subfamily V member 1	Human	Protein	19161409	Homo sapiens	Korean	Both		Biopsy of buttock skin	Buttock skin	Tissue	UV radiation-General		790-900	Ex vivo	No irradiation	24	Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
8	p-S6	RS6_HUMAN	P62753	RPS6	HGNC:10429	40S ribosomal protein S6	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
9	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	5	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
10	p-S6	RS6_HUMAN	P62753	RPS6	HGNC:10429	40S ribosomal protein S6	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	1	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
11	p-mTOR	MTOR_HUMAN	P42345	MTOR	HGNC:3942	Serine/threonine-protein kinase mTOR	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	1	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
12	p-S6	RS6_HUMAN	P62753	RPS6	HGNC:10429	40S ribosomal protein S6	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	5	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
13	COX-2	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
14	p-p38	MK14_HUMAN	Q16539	MAPK14	HGNC:6876	mitogen-activated protein kinase 14	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	1	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
15	p-mTOR	MTOR_HUMAN	P42345	MTOR	HGNC:3942	Serine/threonine-protein kinase mTOR	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
16	p-mTOR	MTOR_HUMAN	P42345	MTOR	HGNC:3942	Serine/threonine-protein kinase mTOR	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	5	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
17	p-p38	MK14_HUMAN	Q16539	MAPK14	HGNC:6876	mitogen-activated protein kinase 14	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	5	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
18	p-p38	MK14_HUMAN	Q16539	MAPK14	HGNC:6876	mitogen-activated protein kinase 14	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
19	p-4E-BP1	4EBP1_HUMAN	Q13541	EIF4EBP1	HGNC:3288	eukaryotic translation initiation factor 4E binding protein 1	Human	Protein	26031292	Homo sapiens				Biopsy of contralateral buttock	Contralateral buttock	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
